frame,particles,delta,physMem,virtMem
586,1331,0.0216535,51388416,40931328
587,1333,0.0210675,51388416,40931328
588,1344,0.0214877,51388416,40931328
589,1350,0.0293981,51388416,40931328
590,1351,0.0238818,51388416,40931328
591,1353,0.0220818,51388416,40931328
592,1356,0.0228088,51388416,40931328
593,1357,0.0234355,51388416,40931328
594,1364,0.0220359,51388416,40931328
595,1367,0.0270796,51388416,40931328
596,1368,0.0245586,51388416,40931328
597,1370,0.022317,51388416,40931328
598,1373,0.0230955,51388416,40931328
599,1381,0.0231439,51388416,40931328
600,1384,0.0244508,51388416,40931328
601,1385,0.0237381,51388416,40931328
602,1385,0.0224323,51388416,40931328
603,1387,0.0225008,51388416,40931328
604,1388,0.0228377,51388416,40931328
605,1392,0.0230804,51388416,40931328
606,1394,0.0241379,51388416,40931328
607,1399,0.0246594,51388416,40931328
608,1408,0.0248664,51388416,40931328
609,1408,0.0256344,51388416,40931328
610,1408,0.0225013,51388416,40931328
611,1408,0.0233518,51388416,40931328
612,1411,0.0230602,51388416,40931328
613,1412,0.0231715,51388416,40931328
614,1414,0.0231972,51388416,40931328
615,1415,0.0234194,51388416,40931328
616,1415,0.0227724,51388416,40931328
617,1415,0.0226692,51388416,40931328
618,1422,0.0232485,51388416,40931328
619,1423,0.0277222,51388416,40931328
620,1427,0.0230606,51388416,40931328
621,1429,0.0238478,51388416,40931328
622,1433,0.024217,51388416,40931328
623,1449,0.0251229,51388416,40931328
624,1450,0.0276539,51388416,40931328
625,1451,0.0232935,51388416,40931328
626,1452,0.0241269,51388416,40931328
627,1458,0.0243314,51388416,40931328
628,1458,0.0269267,51388416,40931328
629,1458,0.0230728,51388416,40931328
630,1458,0.0238507,51388416,40931328
631,1463,0.0243015,51388416,40931328
632,1468,0.0271331,51388416,40931328
633,1477,0.0253674,51388416,40931328
634,1482,0.0278716,51388416,40931328
635,1488,0.026703,51388416,40931328
636,1493,0.0284051,51388416,40931328
637,1495,0.0262596,51388416,40931328
638,1498,0.0251651,51388416,40931328
639,1498,0.025202,51388416,40931328
640,1500,0.0240234,51388416,40931328
641,1500,0.0253576,51388416,40931328
642,1500,0.0234239,51388416,40931328
643,1500,0.0235789,51388416,40931328
644,1500,0.0250561,51388416,40931328
645,1500,0.0238815,51388416,40931328
646,1500,0.0250466,51388416,40931328
647,1500,0.025828,51388416,40931328
648,1500,0.0243548,51388416,40931328
649,1500,0.023656,51388416,40931328
650,1500,0.0242742,51388416,40931328
651,1500,0.0239353,51388416,40931328
652,1500,0.0239965,51388416,40931328
653,1500,0.0258703,51388416,40931328
654,1500,0.024558,51388416,40931328
655,1500,0.023621,51388416,40931328
656,1500,0.024051,51388416,40931328
657,1500,0.0244216,51388416,40931328
658,1500,0.0252602,51388416,40931328
659,1500,0.0240757,51388416,40931328
660,1500,0.0241251,51388416,40931328
661,1500,0.0239221,51388416,40931328
662,1500,0.0246171,51388416,40931328
663,1500,0.0245573,51388416,40931328
664,1500,0.0243016,51388416,40931328
665,1500,0.0252968,51388416,40931328
666,1500,0.0239725,51388416,40931328
667,1500,0.0236357,51388416,40931328
668,1500,0.0240073,51388416,40931328
669,1500,0.0244489,51388416,40931328
670,1500,0.0247021,51388416,40931328
671,1500,0.0238477,51388416,40931328
